Activity,light_livingroom,light_hallway,light_bedroom,light_kitchen,light_study,switch_door_hallway,audio_livingroom,current_watercoldfan_livingroom,current_lamp_bedroom,current_PC_bedroom,current_TV_livingroom,current_lamp_livingroom,current_xbox_livingroom,current_microwave_kitchen,current_AC_bedroom,current_AC_livingroom,current_lamp_study,current_NB_study,current_nightlamp_bedroom,people_hallway,people_livingroom,people_bedroom,people_kitchen,people_study
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
 PlayingKinect,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off
